n_bodies,time
2,0.045
2,0.045
2,0.045
2,0.052
2,0.046
2,0.045
2,0.045
2,0.045
2,0.045
2,0.045
6,0.222
6,0.221
6,0.248
6,0.248
6,0.256
6,0.257
6,0.476
6,0.460
6,0.444
6,0.462
1024,5140.059
1024,4937.218
1024,5020.172
1024,4935.576
1024,5155.976
1024,4973.300
1024,4923.608
1024,4927.016
1024,5028.040
1024,5018.352
4096,77410.266
4096,78883.711
4096,76923.164
4096,78202.242
4096,78960.703
16384,1188025.625
65536,17874776.091
